"Code","Categorie","Nom fédération","Nom catégorie"
"CLUB267",2,"Fédération française des pêches sportives","Fédération unisport non olympique"
"CLUB401",4,"Fédération française des clubs alpins et de montagne","Fédération multisports affinitaire"
"CLUB402",4,"Fédération française d'éducation physique et de gymnastique volontaire","Fédération multisports affinitaire"
"CLUB403",4,"Fédération française sport pour tous","Fédération multisports affinitaire"
"CLUB404",4,"Fédération française de la retraite sportive","Fédération multisports affinitaire"
"CLUB405",4,"Fédération française du sport travailliste","Fédération multisports affinitaire"
"CLUB406",4,"Fédération des clubs de la défense","Fédération multisports affinitaire"
"CLUB407",4,"Fédération nationale du sport en milieu rural","Fédération multisports affinitaire"
"CLUB408",4,"Fédération sportive et culturelle de France","Fédération multisports affinitaire"
"CLUB409",4,"Fédération française Maccabi","Fédération multisports affinitaire"
"CLUB410",4,"Fédération sportive et gymnique du travail (FSGT)","Fédération multisports affinitaire"
"CLUB413",4,"Union française des œuvres laïques d'éducation physique (UFOLEP)","Fédération multisports affinitaire"
"CLUB415",4,"Fédération française omnisports des personnels de l'éducation nationale de la jeunesse et sports (2F OPEN-JS)","Fédération multisports affinitaire"
"CLUB417",4,"Union nationale sportive Léo Lagrange","Fédération multisports affinitaire"
"CLUB418",4,"Fédération française du sport d'entreprise","Fédération multisports affinitaire"
"CLUB420",4,"Fédération sportive des ASPTT","Fédération multisports affinitaire"
"CLUB501",5,"Fédération française handisport","Fédération multisports sport et handicap"
"CLUB601",6,"Fédération française du sport universitaire","Fédération multisports scolaire ou universitaire"
"CLUB603",6,"Union nationale des clubs universitaires","Fédération multisports scolaire ou universitaire"
"CLUB604",6,"Union nationale du sport scolaire (UNSS)","Fédération multisports scolaire ou universitaire"
"CLUB605",6,"Union sportive de l'enseignement du premier degré","Fédération multisports scolaire ou universitaire"
